Market,Category,URL,ASIN,Date,Time,Title,Ratting,Availability,Desc,list_price,Image,Brand,Seller_Rank,customer_ratting,ship_by,sold_by,Is_new,Date_First_Available,Tables
US,automotive,https://www.amazon.com/dp/B09SPRRR2L,B09SPRRR2L,28/05/2022,14:55:36,RadySpeed 4 Rows Radiator For Ford F150 Expedition Lincoln Navigator 4.6L 5.4L 2004-200,,Only 5 left in stock - order soon.,"Vehicle Fitment: For 2004-2006 Ford Expedition 5.4L For 2004 Ford Expedition 4.6L For 2005-2006 Lincoln Navigator 5.4L For 2005-2008 Ford F-150 4.6L For 2005-2008 Ford F-150 4.2L For 2005-2008 Ford F-150 5.4L For 2006-2008 Lincoln Mark LT 5.4L Radiator Size: High Performance Racing Spec. 4-Row of tubes Core Racing Design Core Size 31 7/8"" W x 17"" H x 2 4/9"" T Overall Dimensions (In)：35 1/2"" W x 30 1/2"" H Inlet size 1 1/2 in. Inlet Outlet size 1 3/4 in. Outlet Automatic transmission cooler :With Transmission Cooler Engine oil cooler :Without Engine Oil Cooler Replaces dpi number DPI# 2818 Petock Drain:OEM style brass petcock drain Manufacturer direct-sale line system with unbeatable quality warranty for all cooling parts you received Thin-tube construction assures maximum cooling efficiency, superior fin waves provide a higher heat transfer Stringently tested to guarantee optimum performance and dependability, Straightforward installation guaranteed.1. Covers vast selection of import and domestic applications.2. Stringently tested to ensure optimum durability and performance.100% Leak and Pressure Test.Inside and outside corrosion Test.Performance Test against OE sample.High & low temperature impulse Test",$244.00,https://images-na.ssl-images-amazon.com/images/I/71W1GL0hhfL.__AC_SX300_SY300_QL70_FMwebp_.jpg,RadySpeed,,,Ships from RadySpeed , RadySpeed,No,"February 17, 2022","{'ASIN': 'B09SPRRR2L', 'Date First Available': 'February 17, 2022', 'Manufacturer': 'RadySpeed', 'Brand': 'RadySpeed', 'Item Weight': '23.1 pounds', 'Package Dimensions': '39.37 x 22.05 x 7.87 inches', 'Country of Origin': 'China', 'Manufacturer Part Number': '0214-536-51333'}"
US,automotive,https://www.amazon.com/dp/B0851HRZJ5,B0851HRZJ5,28/05/2022,14:55:45,Starbrite Ultimate 5gl Bucket 83702,,Only 15 left in stock - order soon.,This is a great way to prep your boat for the upcoming fishing season or just the next family trip on the lake. Kit has everything you need to get your boat looking and feeling good to go out on the water Keep your investment protected by taking care of it with this complete kit for your boats appearance,$91.95,https://images-na.ssl-images-amazon.com/images/I/41lxnZjCkSS.__AC_SX300_SY300_QL70_FMwebp_.jpg,ESM,,,Ships from Best Connections , Best Connections,No,"February 21, 2020","{'ASIN': 'B0851HRZJ5', 'Date First Available': 'February 21, 2020', 'Manufacturer': 'Starbrite', 'Brand': 'ESM', 'Item model number': '74-83702', 'Manufacturer Part Number': '83702'}"
US,automotive,https://www.amazon.com/dp/B083WB4TVV,B083WB4TVV,28/05/2022,14:55:53,"2"" Receiver 3 Point Trailer Hitch Category 1 Tractor Tow Drawbar Adapter Compatible with BX Kubota John Deere LM25H WLM Tractor NorTrac Kioti Yanmar",4.3 out of 5 stars,In Stock.,"About this itemThis fits your . Make sure this fits by entering your model number. 💫Standard 2"" trailer receiver, Fits all Category 1 tractors💫Sturdy triangular design; Heavy duty steel construction,more durable and reliable💫This new improved model 3 point trailer hitch attachment is a device attached to the chassis of a vehicle for towing,it is a perfect choice for moving around trailers and other implements that use a standard 2"" receiver hitch.💫Using this trailer hitch, you are able to move tractors, trailers or whatever you like in your factory, warehouse, farm, manor...etc. It will make your tractor becomes a versatile machine to better service for you.💫The side lift pins will turn inward for small tractors like the BX Kubota or outward for normal sized tractors.› See more product details",$79.88,https://m.media-amazon.com/images/I/71cR0w8RY+L._AC_SY300_SX300_.jpg,VOWAGH,"#8,004 in Automotive (See Top 100 in Automotive)#24 in Towing Hitch Receivers",288 ratings,Ships from Amazon , ay-autoparts,Yes,"January 14, 2020","{'ASIN': 'B083WB4TVV', 'Customer Reviews': '4.3 out of 5 stars288 ratings4.3 out of 5 stars', 'Best Sellers Rank': '#8,004 in Automotive (See Top 100 in Automotive)#24 in Towing Hitch Receivers', 'Date First Available': 'January 14, 2020', 'Manufacturer': 'ay-autoparts', 'Brand': 'VOWAGH', 'Item Weight': '26 pounds', 'Package Dimensions': '22.8 x 21.9 x 5.6 inches', 'Manufacturer Part Number': 'HX1425'}"
US,automotive,https://www.amazon.com/dp/B06XPSP2HS,B06XPSP2HS,28/05/2022,14:56:14,"Chemical Guys CWS203_16 Foaming Citrus Fabric Clean Carpet & Upholstery Cleaner (Car Carpets, Seats & Floor Mats), 16 fl oz, Citrus Scent",4.6 out of 5 stars,In Stock.,"Foaming Citrus Fabric Clean Carpet and Upholstery Shampoo and Odor Eliminator is the fastest and strongest spot and stain remover shampoo. Fabric clean will break down and remove stubborn stains from any indoor/outdoor fabric, upholstery or carpet safely and completely. It is formulated with the most advanced cleaners and protectants. Fabric clean combines a superior biodegradable degreaser with an enzymatic odor eliminator for immediate odor control and long lasting deep cleaning benefits of biotechnology. Naturally occurring microbes in fabric clean degrade the organic compounds that cause odor, eradicating them completely leaving behind a fresh scent. There are no chemicals, ammonia, bleach, color damaging detergents or solvents. This biodegradable formula removes oil, grease, dirt, coffee, tea, wine, juice and pet stains from any water-safe indoor or outdoor fabric. Fabric clean removes stains fast and restores fabric, carpet and upholstery to a like-new condition. Fabric clean is highly concentrated and should be diluted one part product to 20 parts water. Fabric Clean creates foaming bubbles for professional detailing results. Cleaning foam isn’t just for fun; scrubbing bubbles serve a practical function: The oxygen-infused cleaners of Fabric Clean lift and separate dirt particles and stains from deep within fabric in carpets and upholstery. Foaming action floats the particles directly to the surface of the material for easy cleanup with just a microfiber towel or hot water extractor. While low-grade cleaners leave carpets feeling wet, promote mildew growth, and finish with a stiff crusty feeling, Fabric Clean is detergent free, low-moisture, and finishes with the soft feel of clean fabric. Clean set-in stains, dirt, and filth from any color floor mat, carpet, or upholstery in any car, truck, SUV, RV, and even around your home or office with Chemical Guys Foaming Carpet Cleaner.",$9.99$9.99,https://images-na.ssl-images-amazon.com/images/I/71kYs5slodL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Chemical Guys,#31 in Automotive (See Top 100 in Automotive)#1 in Carpet Cleaners,"17,864 ratings",Ships from Amazon.com , Amazon.com,Yes,"March 16, 2017","{'ASIN': 'B06XPSP2HS', 'Customer Reviews': '4.6 out of 5 stars17,864 ratings4.6 out of 5 stars', 'Best Sellers Rank': '#31 in Automotive (See Top 100 in Automotive)#1 in Carpet Cleaners', 'Date First Available': 'March 16, 2017', 'Manufacturer': 'Chemical Guys', 'Brand': 'Chemical Guys', 'Item Weight': '1 pounds', 'Product Dimensions': '10 x 2.5 x 2.5 inches', 'Country of Origin': 'USA', 'Item model number': 'CWS20316SW', 'Is Discontinued By Manufacturer': 'No', 'Manufacturer Part Number': 'CWS20316SW', 'OEM Part Number': 'CWS-103-16', 'Special Features': 'Made in America, Works with foam cannon, foam gun, and simple bucket wash, Concentrated'}"
US,automotive,https://www.amazon.com/dp/B097D7XKKZ,B097D7XKKZ,28/05/2022,14:56:35,Cell Phone Holder for Car Phone Mount Long Arm Dashboard Windshield Car Phone Holder Strong Suction Anti-Shake Stabilizer Phone Car Holder Compatible with All Phone Android Smartphone,4.4 out of 5 stars,In Stock.,"About this itemNOTE: ONLY USE THE EXTRA DASHBOARD PAD WHEN THE SUCTION CUP CAN NOT ATTACH ON THE SURFACE CLOSELYNOTE: THE CAR MOUNT NEED A BIG ENOUGH FLAT SURFACE TO MAKE THE ADHESIVE ATTACHED CLOSELY AND COMPLETELYNOTE: NOT RECOMMENDED TO USE THE EXTRA DASHBOARD PAD FOR WINDSHIELD MOUNTINGBroad Vision: Qifutan cell phone car mount features a 16cm/6.2in aluminum long gooseneck that sends your phone much closer to you. It can be mounted on the windshield firmly. Most importantly, you can bend it in every direction to avoid obstructing the viewSecure Steady Installation: Qifutan car mount for iphone 13/12/11 features an extra-strong vacuum suction cup with a layer of super sticky gel, a locking lever, and an anti-shake stabilizer. It sticks securely and easily on the windshield or most flat surfaces and removes the phone car mount without leaving any nasty marks. (Note: use warm water to wash the car holder's suction cup if the surface is dirty or it can not stick firmly, then let it air dry.)One-Hand Operation: Press the button on the lower back of the car mobile phone holder to take out your phone, and press the back edge of the clamping arms to secure your phone with one hand. Make your operation more fluently. Fit well for the smartphone which’s the width between 4''-7''in and the most thicknessSmooth Contact: The car phone mount is padded with multiple soft silicone pads to avoid scratching your smartphone or other devices. Perfect choice for most cars, vehicle, pickup trucks, SUVs, trucks, taxis; a good assistant for Uber, Lyft driversIdeal Viewing Angle: The car phone mount features a 360° rotating ball joint that allows you to switch it from portrait to landscape view quickly, for getting the best viewing angle. It is favorable for navigation and sending and receiving phone calls. You can enjoy a more convenient and secure drive",$18.99,https://images-na.ssl-images-amazon.com/images/I/81Qwgjn9fTL.__AC_SY300_SX300_QL70_FMwebp_.jpg,Qifutan,#104 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)#4 in Cell Phone Automobile Cradles,"10,121 ratings",Ships from Amazon ," Qifutan Direct US Packaging Shows what’s inside.To hide it, choose Ship in Amazon Packaging at Checkout.",Yes,"June 17, 2021","{'Package Dimensions': '5.71 x 3.86 x 3.23 inches', 'Item Weight': '9.1 ounces', 'ASIN': 'B097D7XKKZ', 'Item model number': 'HD-C77', 'Customer Reviews': '4.4 out of 5 stars10,121 ratings4.4 out of 5 stars', 'Best Sellers Rank': '#104 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)#4 in Cell Phone Automobile Cradles', 'Special Features': 'Universal, Anti-Scratch, Windshield Mount, Adjustable Long Arm, Support Thick Cases, Travel, Rotatable,', 'Other display features': 'Wireless', 'Colour': 'Black', 'Included Components': 'B097D7XKKZ', 'Manufacturer': 'Qifutan', 'Date First Available': 'June 17, 2021'}"
US,automotive,https://www.amazon.com/dp/B085DMV7XD,B085DMV7XD,28/05/2022,14:56:48,"Bike Phone Holder, Motorcycle Phone Mount - Lamicall Bicycle Handlebar Cell Phone Clamp, Scooter Phone Clip for Phone 11 Pro Max, S9 and 4.7""- 6.8"" Cellphone",4.6 out of 5 stars,In Stock.,"About this itemThis fits your . Make sure this fits by entering your model number. 【 Sturdy and Safe】 A special shape of this motorcycle & bike phone holder grips each corner of your phone tightly. It ensures the safety of your cell phone attached to the bike handlebar even on a bumpy road.【 Shockproof Protection】 This bicycle accessories - adjustable bike phone mount comes with silicone pads that keep your phone from scratches and vibration. The motorcycle phone mount holds your phone perfectly when cycling.【 Wide Compatibility】 These universal bike accessories bike cell phone holder for 4.7 and 6.8 inches with thickness up to 15mm (including phone case), like Phone 13 1 2 Pro Max Mini Xs XR X 8 Plus 7 6s 6, Galaxy S10 + S10e S9 S8, Note 9, LG and other cell phones.【 Adjustable Features】 Easy to adjust the cellphone to horizontal or vertical screen. It is convenient to answer the phone, play music, GPS positioning during the riding.【 Easy Installation】 This motorcycle accessories - one hand operation motorcycle phone mount is easy to install without tool. The extra 4 silicone pads make your phone fit better with handlebar, can add or remove the silicone pad according to the diameter of handlebar. Suit well with various types of bicycles, motorcycles, stroller, shopping cart, electric scooter, indoor treadmill, indoor bike. ❗ Handlebar diameter: ⌀ 0.59 - 1.57"" (15-40mm)› See more product details",$18.99,https://images-na.ssl-images-amazon.com/images/I/71kw0RENMVL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Lamicall,#41 in Automotive (See Top 100 in Automotive)#2 in Powersports Electrical Device Mounts#2 in Amazon Launchpad Electronics#140 in Cell Phone Accessories,"24,204 ratings",Ships from Amazon , Lamicall Store,Yes,"February 3, 2020","{'ASIN': 'B085DMV7XD', 'Customer Reviews': '4.6 out of 5 stars24,204 ratings4.6 out of 5 stars', 'Best Sellers Rank': '#41 in Automotive (See Top 100 in Automotive)#2 in Powersports Electrical Device Mounts#2 in Amazon Launchpad Electronics#140 in Cell Phone Accessories', 'Date First Available': 'February 3, 2020', 'Manufacturer': 'Lamicall', 'Brand': 'Lamicall', 'Item Weight': '7 ounces', 'Product Dimensions': '4.2 x 3.1 x 1.5 inches', 'Country of Origin': 'China', 'Item model number': 'BM02-B', 'Is Discontinued By Manufacturer': 'No', 'Manufacturer Part Number': 'BM02-CA-B', 'Special Features': 'Wireless, Universal & Good Protection., Universal, One-Key Lock Button, One Hand Operation'}"
US,automotive,https://www.amazon.com/dp/B07Q6CPQK4,B07Q6CPQK4,28/05/2022,14:56:58,"Govee LED Car Lights with App Control, Smart Interior Car Lights with DIY Mode and Music Mode, RGB Car Lights with 2 Lines Design, Under Dash Interior Lights for Car with Car Charger, DC 12V",4.4 out of 5 stars,In Stock.,"About this itemThis fits your . Make sure this fits by entering your model number. Creative DIY Mode: Choose from over 16 million available colors or customize light effects to your liking in DIY mode via Govee Home app. With more creative freedom, you can easily make your car stand out in unique style.Dynamic Music Mode: The built-in mic helps car lights sync smoothly with any music type. Liven up your road trips, weekend get-aways, or evening commute with colors that dance vibrantly to your favorite songs.Smart App Control: With Govee Home app and the provided control box, you can manage the led interior lights' color, brightness, and music mode. With more convenient control, you'll enjoy a comfortable and vibrant driving experience.2 Lines Design: 2 smartly designed lines connect the 4 strip lights, ensuring your entire vehicle is illuminated in vibrant color. Attach the car led lights easily to any car model without worrying about exposed wiring or an untidy look.Simple Installation: Attach the car led interior lights to your vehicle with the adhesive and support clips after ensuring the surface is dry and clean. Easier installation helps brighten your car, SUV, or truck quickly.› See more product details",$19.99,https://images-na.ssl-images-amazon.com/images/I/71UcEotkdRL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Govee,#32 in Automotive (See Top 100 in Automotive)#1 in Automotive Neon Accent Light Kits,"59,637 ratings",Ships from Amazon , Govee US,Yes,"March 28, 2019","{'ASIN': 'B07Q6CPQK4', 'Customer Reviews': '4.4 out of 5 stars59,637 ratings4.4 out of 5 stars', 'Best Sellers Rank': '#32 in Automotive (See Top 100 in Automotive)#1 in Automotive Neon Accent Light Kits', 'Date First Available': 'March 28, 2019', 'Manufacturer': 'Govee', 'Brand': 'Govee', 'Model': 'Govee-H61140A1-APP', 'Item Weight': '10.5 ounces', 'Product Dimensions': '1.65 x 11.5 x 3.43 inches', 'Item model number': '1', 'Manufacturer Part Number': 'US-H61140A1', 'Position': 'Rear', 'Bulb Type': 'LED', 'Special Features': 'Sync to Music, Waterproof, Strong Adhesive, With Cable Tie & Screw', 'Safety Rating': 'CE/ROHS/FCC/PSE', 'Voltage': '12 Volts'}"
US,automotive,https://www.amazon.com/dp/B00IPS4APU,B00IPS4APU,28/05/2022,14:57:15,Rain-X 600001 Windshield Repair Kit,3.9 out of 5 stars,In Stock.,"Rain-X Windshield Repair Kit helps you minimize the appearance and stop the spread of chips and cracks in your windshield. It removes air from the break, fills it with durable resin and makes it even stronger than before. For best results, repairs should be made as soon as possible after the damage occurs and before the break is contaminated by dirt or water. In addition, avoid the use of glass treatments after the crack has formed and prior to repair. However, glass treatments can be applied one (1) week after repair. The kit works best on round damage not more than one inch in diameter, and cracks not longer than 12 inches. It will not repair damage to more than one layer of glass.",$12.09,https://images-na.ssl-images-amazon.com/images/I/812PMDAmIrS.__AC_SX300_SY300_QL70_FMwebp_.jpg,Rain-X,#36 in Automotive (See Top 100 in Automotive)#1 in Windshield & Glass Repair Tools,"28,916 ratings",Ships from Amazon.com , Amazon.com,Yes,"June 16, 2014","{'ASIN': 'B00IPS4APU', 'Customer Reviews': '3.9 out of 5 stars28,916 ratings3.9 out of 5 stars', 'Best Sellers Rank': '#36 in Automotive (See Top 100 in Automotive)#1 in Windshield & Glass Repair Tools', 'Date First Available': 'June 16, 2014', 'Manufacturer': 'Rain-X', 'Brand': 'Rain-X', 'Model': '600001', 'Item Weight': '0.035 ounces', 'Product Dimensions': '1 x 4.38 x 8.56 inches', 'Country of Origin': 'Taiwan', 'Item model number': '600001', 'Is Discontinued By Manufacturer': 'No', 'Manufacturer Part Number': '600001'}"
US,automotive,https://www.amazon.com/dp/B07YRKDF4P,B07YRKDF4P,28/05/2022,14:57:47,"Magnetic Phone Holder for Car, [Easily Install] LISEN Car Phone Holder Mount [6 Strong Magnets] Cell Phone Holder for Car [Case Friendly] iPhone Car Holder Compatible with All Smartphones & Tablets",4.4 out of 5 stars,In Stock.,"About this item👍UPGRADED CLIP: This Car Phone Holder Mount is designed as “hook shape” and form “Three grasp points” which can vise the outlet blades tightly and ensure it never fall off in any situation. The Cell Phone Holder for Car iS BORNED FOR INNOVATION & PRACTICABILITY, it solving the market’s common problem of being easy to fall off over time.👍LOCK YOUR PHONE FIRMLY: LISEN Magnetic Phone Car Mount with 6 built-in strong magnets, the maximum bearing up to weight of 4 cellphones. Powerful suction keep your cellphone stay stably even when drive on a bumpy road. PLEASE NOTE：1. It is recommend that use the “square pad” on the back of your phone/case. It is more stable than the round. 2. ANY DEVICE NEEDS TO USE THE METAL PALTE EVEN iPhone 12 and iPhone13.👍EASY INSTALLATION: Benefit from the special design of the clamp, this iphone car mount is quite easy to install, just need to put it on the car’s outlet blades and adjust the length of clamp by turning the knob to match the outlet. Then finish the installation.👍 CONVINCING QUALITY & UNIVERSAL COMPATIBILITY: LISEN car phone holder won SGS RoHS & SGS CP65 official certification and passed the magnetic force, telephone signal, hook stability and ingredient safety test. Quality is strictly controlled. The car holder holds most smartphones and mini tablets compatible with iPhone 13 12 11 pro max / XR / X / 8/7/6/5, Note 9 / Galaxy Note20 U, S21 S20 S10 S9 S8 S7 S6, iPad Air 2 / Mini 3 / Pro 9.7 and more.This product cannot work with MagSafe.👍10 TIMES MORE EASIER USE THAN CLAMP HOLDER: This magnetic phone holder for car, without any buttons, is more concise and in harmony with your car’s interior. Magnetically guided adsorption is the most ideal solution for car phone holders. You only need to take the phone close to the phone holder mount, without any complicated steps, the phone will be swiftly attracted and sticks correctly to the mount in a snap-like click. Even if you are driving intently, you can easily put your phone on it.👍6 MAGNETS, GET BEST STABILITY: 6 military-grade NdFeB magnets, 100% guarantee that the phone will not fall. We screened 128 materials and 99 matrix arrangements. Finally, we designed this super strong magnetic car mount with the above material. There are many upgrades compared to the bracket of 4 ordinary magnets. Compared with the 4 magnets one, it can hold small ipads firmly in various road conditions. The closed-loop magnetic field does not affect the cell phone signal and NFC function.👍WHAT'S YOU GET: 1*LISEN magnetic phone car mount, 2*Round metal Pad, 1*Rectangular metal Pad, 2*Round PE Film , 1*Rectangular PE Film. NOTE: THIS PHONE HOLDER IS ONLY COMPATIBLE WITH HORITABLE AIR VENT AND NOT COMPATIBLE WITH VERTICAL OR ROUND AIR VENT.Note: The metal plate will make the magsafe wireless charging function unusable, paste it below the wireless charging area.",$12.95,https://images-na.ssl-images-amazon.com/images/I/711m9CtgYEL.__AC_SX300_SY300_QL70_FMwebp_.jpg,LISEN,#113 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)#5 in Cell Phone Automobile Cradles,"35,104 ratings",Ships from Amazon ," LISEN Direct Packaging Shows what’s inside.To hide it, choose Ship in Amazon Packaging at Checkout.",Yes,"October 6, 2019","{'Product Dimensions': '1.93 x 1.42 x 2.56 inches', 'Item Weight': '1.75 ounces', 'ASIN': 'B07YRKDF4P', 'Item model number': 'LV633', 'Customer Reviews': '4.4 out of 5 stars35,104 ratings4.4 out of 5 stars', 'Best Sellers Rank': '#113 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)#5 in Cell Phone Automobile Cradles', 'Is Discontinued By Manufacturer': 'No', 'Special Features': 'LOCK YOUR PHONE FIRMLY, UPGRADED CLAMP', 'Other display features': 'Wireless', 'Colour': 'Black', 'Included Components': 'Phone Holder', 'Manufacturer': 'LISEN', 'Date First Available': 'October 6, 2019'}"
US,automotive,https://www.amazon.com/dp/B01M0SFMIH,B01M0SFMIH,28/05/2022,14:57:58,"Handsfree Call Car Charger,Wireless Bluetooth FM Transmitter Radio Receiver,Mp3 Audio Music Stereo Adapter,Dual USB Port Charger Compatible for All Smartphones,Samsung Galaxy,LG,HTC,etc.",4.3 out of 5 stars,In Stock.,"About this itemDual USB car charger: 2 USB charging port to charge most USB Devices. Input 12V/24V, 1a port with USB reading and charge function; smart 3. 1 A charge port which can intelligently identify Android or iOS devices and charging.More compatibility: wireless Bluetooth FM transmitter adapter for car radio,transfer calling/MP3 music/Cellphone voices to car speaker.Compatible with iPad,iPhone,Samsung,Google,LG,HTC and Bluetooth Device.Hands free function: built-in microphone, switch to hands-free mode automatically from music playing status when receiving calls. Answer/reject/hand up/recall all in One key.Car battery voltage function: Show 3 seconds voltage when plug into the car outlet port. Always keep battery state of health. Then it turn to automatic play mode.Music playing:support Bluetooth /USB disk/TF card/ MP3/wma player. With anti-interference performance and CVC technology.Listening to music while charging. Automatically connect memorized paired when power on. 12-Month worry-free.","['$16.99', '$13.79']",https://images-na.ssl-images-amazon.com/images/I/51ixWHI-aaL.__AC_SX300_SY300_QL70_FMwebp_.jpg,LIHAN,#2 in MP3 Player FM Transmitters,"37,750 ratings",Ships from Amazon , LIHAN Tech,No,"September 16, 2016","{'Product Dimensions': '5 x 1.5 x 2.5 inches', 'Item Weight': '0.16 ounces', 'ASIN': 'B01M0SFMIH', 'Item model number': 'HY82', 'Customer Reviews': '4.3 out of 5 stars37,750 ratings4.3 out of 5 stars', 'Best Sellers Rank': '#2 in MP3 Player FM Transmitters', 'Is Discontinued By Manufacturer': 'No', 'OS': 'Android,IOS', 'Wireless communication technologies': 'Bluetooth, AM, AM/FM', 'Connectivity technologies': 'Wireless', 'Special Features': 'Microphone, Bluetooth FM Transmitter', 'Other display features': 'Wireless', 'Device interface - primary': 'Microphone, Keypad, Buttons', 'Colour': 'Black', 'Included Components': 'Charger', 'Manufacturer': 'INTRO UNIOIN ELECTRONICS CO LIMITED', 'Date First Available': 'September 16, 2016'}"
